wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
евгений	евгений	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
иванович	иван	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
замятин	замятин	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
самая	самый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
прославленная	прославить	PRTF	None	perf	nomn	femn	None	None	sing	None	past	tran	pssv
антиутопия	антиутопия	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
замятина	замятин	NOUN	anim	None	gent	masc	None	None	sing	None	None	None	None
одна	один	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
самых	самый	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
знаменитых	знаменитый	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
антиутопий	антиутопия	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
мира	мир	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
отталкивался	отталкиваться	VERB	None	impf	None	masc	None	indc	sing	None	past	intr	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
собственным	собственный	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
словам	слово	NOUN	inan	None	datv	neut	None	None	plur	None	None	None	None
олдос	олдос	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
хаксли	хаксли	NOUN	anim	None	nomn	None	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
своём	свой	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
дивном	дивный	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
новом	новый	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
мире	мир	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
без	без	PREP	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
существовало	существовать	VERB	None	impf	None	neut	None	indc	sing	None	past	intr	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
поразительного	поразительный	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
романа	роман	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
1984	1984	None	None	None	None	None	None	None	None	None	None	None	None
оруэлла	оруэлла	NOUN	anim	None	nomn	femn	None	None	sing	None	None	None	None
славное	славный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
будущее	будущее	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
замятину	замятин	NOUN	anim	None	datv	masc	None	None	sing	None	None	None	None
мир	мир	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
котором	который	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
личностью	личность	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
преступление	преступление	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
запись	запись	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
1-я	1-я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
конспект	конспект	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
объявление	объявление	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
мудрейшая	мудрый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
линий	линия	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
поэма	поэма	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
просто	просто	PRCL	None	None	None	None	None	None	None	None	None	None	None
списываю	списывать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
слово	слово	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
слово	слово	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
сегодня	сегодня	ADVB	None	None	None	None	None	None	None	None	None	None	None
напечатано	напечатать	PRTS	None	perf	None	neut	None	None	sing	None	past	None	pssv
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
государственной	государственный	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
газете	газета	NOUN	inan	None	loct	femn	None	None	sing	None	None	None	None
через	через	PREP	None	None	None	None	None	None	None	None	None	None	None
120	120	None	None	None	None	None	None	None	None	None	None	None	None
дней	день	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
заканчивается	заканчиваться	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
постройка	постройка	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
интеграла	интеграл	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
